time,event,signal_name1,value
2024-04-15T16:46:33,Signal,FIB_EMA_CROSS,
2024-04-15T16:51:23,Signal,FIB_EMA_CROSS,
2024-04-15T16:59:35,Signal,FIB_EMA_CROSS,
2024-04-15T17:06:46,Signal,FIB_EMA_CROSS,
2024-04-15T17:11:38,Signal,FIB_EMA_CROSS,
2024-04-15T17:40:15,Signal,FIB_EMA_CROSS,
2024-04-15T18:42:05,Signal,FIB_EMA_CROSS,
2024-04-15T19:44:05,Signal,FIB_EMA_CROSS,
2024-04-15T19:49:05,Signal,FIB_EMA_CROSS,
2024-04-15T20:06:52,Signal,FIB_EMA_CROSS,
2024-04-15T20:18:00,Signal,FIB_EMA_CROSS,
2024-04-15T20:42:38,Signal,FIB_EMA_CROSS,
2024-04-15T20:58:45,Signal,FIB_EMA_CROSS,
2024-04-15T21:14:38,Signal,FIB_EMA_CROSS,
2024-04-15T21:41:25,Signal,FIB_EMA_CROSS,
2024-04-15T21:53:07,Signal,FIB_EMA_CROSS,
2024-04-16T04:37:39,Signal,FIB_EMA_CROSS,
2024-04-16T06:32:43,Signal,FIB_EMA_CROSS,
2024-04-16T08:30:53,Signal,FIB_EMA_CROSS,
2024-04-16T09:45:20,Signal,FIB_EMA_CROSS,
2024-04-16T10:06:15,Signal,FIB_EMA_CROSS,
2024-04-16T10:41:15,Signal,FIB_EMA_CROSS,
2024-04-16T11:33:51,Signal,FIB_EMA_CROSS,
2024-04-16T13:19:52,Signal,FIB_EMA_CROSS,
2024-04-16T14:32:33,Signal,FIB_EMA_CROSS,
2024-04-16T14:56:43,Signal,FIB_EMA_CROSS,
2024-04-16T15:01:41,Signal,FIB_EMA_CROSS,
2024-04-16T15:03:57,Signal,FIB_EMA_CROSS,
2024-04-16T15:07:19,Signal,FIB_EMA_CROSS,
2024-04-16T15:35:38,Signal,FIB_EMA_CROSS,
2024-04-16T15:45:39,Signal,FIB_EMA_CROSS,
2024-04-16T16:03:23,Signal,FIB_EMA_CROSS,
2024-04-16T16:06:09,Signal,FIB_EMA_CROSS,
2024-04-16T16:10:35,Signal,FIB_EMA_CROSS,
2024-04-16T16:20:37,Signal,FIB_EMA_CROSS,
2024-04-16T16:25:54,Signal,FIB_EMA_CROSS,
2024-04-16T16:27:06,Signal,FIB_EMA_CROSS,
2024-04-16T16:36:32,Signal,FIB_EMA_CROSS,
2024-04-16T16:42:35,Signal,FIB_EMA_CROSS,
2024-04-16T16:58:08,Signal,FIB_EMA_CROSS,
2024-04-16T17:18:41,Signal,FIB_EMA_CROSS,
2024-04-16T17:46:22,Signal,FIB_EMA_CROSS,
2024-04-16T18:32:07,Signal,FIB_EMA_CROSS,
2024-04-16T18:43:25,Signal,FIB_EMA_CROSS,
2024-04-16T19:01:39,Signal,FIB_EMA_CROSS,
2024-04-16T19:15:45,Signal,FIB_EMA_CROSS,
2024-04-16T19:32:20,Signal,FIB_EMA_CROSS,
2024-04-16T19:37:03,Signal,FIB_EMA_CROSS,
2024-04-16T19:39:16,Signal,FIB_EMA_CROSS,
2024-04-16T19:46:13,Signal,FIB_EMA_CROSS,
2024-04-16T19:47:24,Signal,FIB_EMA_CROSS,
2024-04-16T20:00:52,Signal,FIB_EMA_CROSS,
2024-04-16T20:10:16,Signal,FIB_EMA_CROSS,
2024-04-16T20:41:20,Signal,FIB_EMA_CROSS,
2024-04-16T20:49:00,Signal,FIB_EMA_CROSS,
2024-04-16T21:03:17,Signal,FIB_EMA_CROSS,
2024-04-16T21:15:08,Signal,FIB_EMA_CROSS,
2024-04-16T21:40:23,Signal,FIB_EMA_CROSS,
2024-04-16T21:47:24,Signal,FIB_EMA_CROSS,
2024-04-17T07:07:38,Signal,FIB_EMA_CROSS,
2024-04-17T11:01:02,Signal,FIB_EMA_CROSS,
2024-04-17T11:17:01,Signal,FIB_EMA_CROSS,
2024-04-17T13:39:18,Signal,FIB_EMA_CROSS,
2024-04-17T13:51:58,Signal,FIB_EMA_CROSS,
2024-04-17T14:10:02,Signal,FIB_EMA_CROSS,
2024-04-17T14:22:39,Signal,FIB_EMA_CROSS,
2024-04-17T15:34:12,Signal,FIB_EMA_CROSS,
2024-04-17T15:39:34,Signal,FIB_EMA_CROSS,
2024-04-17T15:48:21,Signal,FIB_EMA_CROSS,
2024-04-17T15:57:19,Signal,FIB_EMA_CROSS,
2024-04-17T16:00:34,Signal,FIB_EMA_CROSS,
2024-04-17T16:09:23,Signal,FIB_EMA_CROSS,
2024-04-17T16:19:22,Signal,FIB_EMA_CROSS,
2024-04-17T16:40:01,Signal,FIB_EMA_CROSS,
2024-04-17T16:43:49,Signal,FIB_EMA_CROSS,
2024-04-17T17:02:50,Signal,FIB_EMA_CROSS,
2024-04-17T17:12:02,Signal,FIB_EMA_CROSS,
2024-04-17T17:13:09,Signal,FIB_EMA_CROSS,
2024-04-17T17:17:29,Signal,FIB_EMA_CROSS,
2024-04-17T17:24:27,Signal,FIB_EMA_CROSS,
2024-04-17T17:28:40,Signal,FIB_EMA_CROSS,
2024-04-17T17:37:01,Signal,FIB_EMA_CROSS,
2024-04-17T17:52:05,Signal,FIB_EMA_CROSS,
2024-04-17T18:17:28,Signal,FIB_EMA_CROSS,
